Hash ID,Add Item,Category,Name,Quality,Description
Items.ArmsCyberwareSharedFragment3,"Game.AddToInventory(""Items.ArmsCyberwareSharedFragment3"",1)",Mod - Cyberware,Sensory Amplifer,Rare,Increases max Health by 15%
Items.ArmsCyberwareSharedFragment4,"Game.AddToInventory(""Items.ArmsCyberwareSharedFragment4"",1)",Mod - Cyberware,Sensory Amplifer,Rare,Increases Armor by 5%
Items.AssaultSkillbook,"Game.AddToInventory(""Items.AssaultSkillbook"",1)",Progression,Assault Skill Progression Shard,,Adds +400 Skill Exp
Items.AthleticsSkillbook,"Game.AddToInventory(""Items.AthleticsSkillbook"",1)",Progression,Athletics Skill Progression Shard,,Adds +400 Skill Exp
Items.Balaclava,"Game.AddToInventory(""Items.Balaclava"",1)",Unused,,,
Items.Balaclava_01_basic_01,"Game.AddToInventory(""Items.Balaclava_01_basic_01"",1)",Clothing - Head,Ordinary Tactical Balaclava with reactive layering,,
Items.Balaclava_01_basic_02,"Game.AddToInventory(""Items.Balaclava_01_basic_02"",1)",Clothing - Head,Darra Polytehcnic Tactical Balaclava,,
Items.Balaclava_01_old_01,"Game.AddToInventory(""Items.Balaclava_01_old_01"",1)",Clothing - Head,Balaclava with Shock Absorbant Composite layering,,
Items.Balaclava_01_old_02,"Game.AddToInventory(""Items.Balaclava_01_old_02"",1)",Clothing - Head,Nami Balaclava with Polyamide-insulated lining.,,
Items.Balaclava_01_rich_01,"Game.AddToInventory(""Items.Balaclava_01_rich_01"",1)",Clothing - Head,Thermo-Impulse Anti-Sharpnel Balaclava,,
Items.Balaclava_01_rich_02,"Game.AddToInventory(""Items.Balaclava_01_rich_02"",1)",Clothing - Head,Saeko's Darkenet Tactical Balaclava with Nanotubing,,
Items.Base_Assault_Rifle,"Game.AddToInventory(""Items.Base_Assault_Rifle"",1)",Unused,,,
Items.Base_Baton,"Game.AddToInventory(""Items.Base_Baton"",1)",Unused,,,
Items.Base_Dual_Shotgun,"Game.AddToInventory(""Items.Base_Dual_Shotgun"",1)",Unused,,,
Items.Base_Handgun,"Game.AddToInventory(""Items.Base_Handgun"",1)",Unused,,,
Items.Base_Katana,"Game.AddToInventory(""Items.Base_Katana"",1)",Unused,,,
Items.Base_Knife,"Game.AddToInventory(""Items.Base_Knife"",1)",Unused,,,
Items.Base_Lightmachinegun,"Game.AddToInventory(""Items.Base_Lightmachinegun"",1)",Unused,,,
Items.Base_Long_Scope,"Game.AddToInventory(""Items.Base_Long_Scope"",1)",Unused,,,
Items.Base_One_Hand_Blade,"Game.AddToInventory(""Items.Base_One_Hand_Blade"",1)",Unused,,,
Items.Base_One_Hand_Blunt,"Game.AddToInventory(""Items.Base_One_Hand_Blunt"",1)",Unused,,,
Items.Base_Precision_Rifle,"Game.AddToInventory(""Items.Base_Precision_Rifle"",1)",Unused,,,
Items.Base_Revolver,"Game.AddToInventory(""Items.Base_Revolver"",1)",Unused,,,
Items.Base_Short_Scope,"Game.AddToInventory(""Items.Base_Short_Scope"",1)",Unused,,,
Items.Base_Shotgun,"Game.AddToInventory(""Items.Base_Shotgun"",1)",Unused,,,
Items.Base_Sniper_Rifle,"Game.AddToInventory(""Items.Base_Sniper_Rifle"",1)",Unused,,,
Items.Base_Sniper_Scope,"Game.AddToInventory(""Items.Base_Sniper_Scope"",1)",Unused,,,
Items.Base_Submachinegun,"Game.AddToInventory(""Items.Base_Submachinegun"",1)",Unused,,,
Items.Base_Two_Hand_Blunt,"Game.AddToInventory(""Items.Base_Two_Hand_Blunt"",1)",Unused,,,
Items.Base_Two_Hand_Hammer,"Game.AddToInventory(""Items.Base_Two_Hand_Hammer"",1)",Unused,,,
Items.Base_Weapon,"Game.AddToInventory(""Items.Base_Weapon"",1)",Unused,,,
Items.BaseHandgunRecipe,"Game.AddToInventory(""Items.BaseHandgunRecipe"",1)",Unused,,,
Items.BaseMeleeWeaponRecipe,"Game.AddToInventory(""Items.BaseMeleeWeaponRecipe"",1)",Unused,,,
Items.BaseRevolverRecipe,"Game.AddToInventory(""Items.BaseRevolverRecipe"",1)",Unused,,,
Items.BaseRifleRecipe,"Game.AddToInventory(""Items.BaseRifleRecipe"",1)",Unused,,,
Items.BaseShotgunRecipe,"Game.AddToInventory(""Items.BaseShotgunRecipe"",1)",Unused,,,
Items.BaseSMGRecipe,"Game.AddToInventory(""Items.BaseSMGRecipe"",1)",Unused,,,
Items.BaseSniperRecipe,"Game.AddToInventory(""Items.BaseSniperRecipe"",1)",Unused,,,
Items.BerserkC1MK1,"Game.AddToInventory(""Items.BerserkC1MK1"",1)",Cyberware OS: Berserk,Moore Tech Berserk MK.1,Uncommon,"A classic implant, one fo the more popular ""Berserk"" model made by Moore Technologies. Tested and proven in high-stakes combat."
Items.BerserkC1MK2,"Game.AddToInventory(""Items.BerserkC1MK2"",1)",Cyberware OS: Berserk,Moore Tech Berserk MK.2,Rare,
Items.BerserkC1MK3,"Game.AddToInventory(""Items.BerserkC1MK3"",1)",Cyberware OS: Berserk,Moore Tech Berserk MK.3,Epic,
Items.BerserkC2MK1,"Game.AddToInventory(""Items.BerserkC2MK1"",1)",Cyberware OS: Berserk,BioDyne Berserk MK.1,Uncommon,
Items.BerserkC2MK2,"Game.AddToInventory(""Items.BerserkC2MK2"",1)",Cyberware OS: Berserk,BioDyne Berserk MK.2,Rare,
Items.BerserkC2MK3,"Game.AddToInventory(""Items.BerserkC2MK3"",1)",Cyberware OS: Berserk,BioDyne Berserk MK.3,Epic,
Items.BerserkC2MK4,"Game.AddToInventory(""Items.BerserkC2MK4"",1)",Cyberware OS: Berserk,BioDyne Berserk MK.4,Legendary,
Items.BerserkC3MK4,"Game.AddToInventory(""Items.BerserkC3MK4"",1)",Cyberware OS: Berserk,ZetaTech Berserk MK.4,Legendary,
Items.BerserkC3MK5,"Game.AddToInventory(""Items.BerserkC3MK5"",1)",Cyberware OS: Berserk,ZetaTech Berserk MK.5,Iconic,
Items.BerserkC4MK5,"Game.AddToInventory(""Items.BerserkC4MK5"",1)",Cyberware OS: Berserk,Militech Berserk MK.5,Iconic,
Items.BerserkFragment1,"Game.AddToInventory(""Items.BerserkFragment1"",1)",Mod - Cyberware,Extended Berserk,,Increases Berserk duration by 1 sec.
Items.BerserkFragment2,"Game.AddToInventory(""Items.BerserkFragment2"",1)",Mod - Cyberware,Chained Berserk,,Reduces Berserk Cooldown by -5 sec.
Items.BerserkFragment3,"Game.AddToInventory(""Items.BerserkFragment3"",1)",Mod - Cyberware,Armored Berserk,,"While Berserk is active, increases Armor bonus by 5 and all Resistances by 5%"
Items.BerserkFragment4,"Game.AddToInventory(""Items.BerserkFragment4"",1)",Mod - Cyberware,Brusing Berserk,Uncommon,Increases Berserk melee damage bonus by 13%
Items.BerserkFragment5,"Game.AddToInventory(""Items.BerserkFragment5"",1)",Mod - Cyberware,Focused Berserk,,"While Berserk is active, reduces weapon sway by 10% and recoil by 10%"
Items.BerserkFragment6,"Game.AddToInventory(""Items.BerserkFragment6"",1)",Mod - Cyberware,Invigorating Berserk,,"While Berserk is active, increases Health regen by 10%"
Items.BerserkFragment7,"Game.AddToInventory(""Items.BerserkFragment7"",1)",Mod - Cyberware,Devastating Berserk,Rare,"When Berserk is active, increase Crit Chance by 15%"
Items.BerserkFragment8,"Game.AddToInventory(""Items.BerserkFragment8"",1)",Mod - Cyberware,Sharpened Berserk,Rare,"When Berserk is active, increase Crit Chance by 25%"
Items.BioConductorsEpic,"Game.AddToInventory(""Items.BioConductorsEpic"",1)",Cyberware - Circulatory System,Bioconductor,Epic,Reduces all Cyberware cooldowns by 20%
Items.BioConductorsLegendary,"Game.AddToInventory(""Items.BioConductorsLegendary"",1)",Cyberware - Circulatory System,Bioconductor,Legendary,Reduces all Cyberware cooldowns by 30%
Items.BioConductorsRare,"Game.AddToInventory(""Items.BioConductorsRare"",1)",Cyberware - Circulatory System,Bioconductor,Rare,Reduces all Cyberware cooldowns by 10%
Items.BioDyneRareMKII,"Game.AddToInventory(""Items.BioDyneRareMKII"",1)",Cyberware - OS: Cyberdeck,Biodyne MK.2,Rare,Allows you to preform quckhacks on targets and devices while scanning. Increases Cyberdeck Ram recovery rate by 3 unite(s) per 60 seconds.
Items.BioDyneUncommonMKI,"Game.AddToInventory(""Items.BioDyneUncommonMKI"",1)",Cyberware - OS: Cyberdeck,Biodyne MK.1,Uncommon,Allows you to preform quckhacks on targets and devices while scanning.
Items.BiotechEpicMKIII,"Game.AddToInventory(""Items.BiotechEpicMKIII"",1)",Cyberware - OS: Cyberdeck,Biotech Σ MK.3,Epic,
Items.BiotechRareMKII,"Game.AddToInventory(""Items.BiotechRareMKII"",1)",Cyberware - OS: Cyberdeck,Biotech Σ MK.2,Rare,
Items.BiotechUncommonMKI,"Game.AddToInventory(""Items.BiotechUncommonMKI"",1)",Cyberware - OS: Cyberdeck,Biotech Σ MK.1,Uncommon,
Items.BlindLvl2Program,"Game.AddToInventory(""Items.BlindLvl2Program"",1)",Quickhack,Reboot Optics,Rare,"Resets an enemy's optical cyberware, rendering them temporarily blind. Spreads to the nearest enemy withing 8 meter(s) Duration: 15.20"
Items.BlindLvl3Program,"Game.AddToInventory(""Items.BlindLvl3Program"",1)",Quickhack,Reboot Optics,Epic,"Resets an enemy's optical cyberware, rendering them temporarily blind. Spreads to the nearest enemy withing 8 meter(s). Greatly increases Effect Duration. Duration 22.80 sec"
Items.BlindLvl4Program,"Game.AddToInventory(""Items.BlindLvl4Program"",1)",Quickhack,Reboot Optics,Legendary,"Resets an enemy's optical cyberware, rendering them temporarily blind. Spreads to the nearest enemy withing 8 meter(s). Greatly increases Effect Duration. Passive While equiped: Unlocks Optic Jammer daemon for use in Breach Protocal. Duration 22.80 sec"
Items.BlindProgram,"Game.AddToInventory(""Items.BlindProgram"",1)",Quickhack,Reboot Optics,Uncommon,"Resets an enemy's optical cyberware, rendering them temporarily blind. Duration: 15.20 sec"
Items.BloodPumpCommon,"Game.AddToInventory(""Items.BloodPumpCommon"",1)",Cyberware - Circulatory System,Blood Pump,,Activate to instantly restore 50% health (cooldown 180 seconds)
Items.BloodPumpEpic,"Game.AddToInventory(""Items.BloodPumpEpic"",1)",Cyberware - Circulatory System,Blood Pump,Epic,Activate to instantly restore 80% health (cooldown 180 seconds)
Items.BloodPumpLegendary,"Game.AddToInventory(""Items.BloodPumpLegendary"",1)",Cyberware - Circulatory System,Blood Pump,Legendary,Activate to instantly restore 90% health (cooldown 180 seconds)
Items.BloodPumpRare,"Game.AddToInventory(""Items.BloodPumpRare"",1)",Cyberware - Circulatory System,Blood Pump,Rare,Activate to instantly restore 70% health (cooldown 180 seconds)
Items.BloodPumpUncommon,"Game.AddToInventory(""Items.BloodPumpUncommon"",1)",Cyberware - Circulatory System,Blood Pump,Uncommon,Activate to instantly restore 60% health (cooldown 180 seconds)
Items.BonesMcCoy70V0,"Game.AddToInventory(""Items.BonesMcCoy70V0"",1)",Consumable - Meds,Bounce Back MK1,,
Items.BonesMcCoy70V1,"Game.AddToInventory(""Items.BonesMcCoy70V1"",1)",Consumable - Meds,Bounce Back MK2,,
Items.BonesMcCoy70V2,"Game.AddToInventory(""Items.BonesMcCoy70V2"",1)",Consumable - Meds,Bounce Back MK3,,
Items.BoostedTendonsRare,"Game.AddToInventory(""Items.BoostedTendonsRare"",1)",Cyberware - Legs,Reinforced Tendons,Rare,Double jump
Items.Boots,"Game.AddToInventory(""Items.Boots"",1)",Unused,,,
Items.Boots_01_basic_01,"Game.AddToInventory(""Items.Boots_01_basic_01"",1)",Clothing - Feet,Electric Marble Ultralight Athletic Shoes,,
Items.Boots_01_old_01,"Game.AddToInventory(""Items.Boots_01_old_01"",1)",Clothing - Feet,Titanium-Layer Platform Boots,,
Items.Boots_01_rich_01,"Game.AddToInventory(""Items.Boots_01_rich_01"",1)",Clothing - Feet,Street Queen Platform Boots with Reinforced Stitching,,
Items.Boots_02_basic_01,"Game.AddToInventory(""Items.Boots_02_basic_01"",1)",Clothing - Feet,Comfy Hardened-Leather Western Shorties,,
Items.Boots_02_basic_02,"Game.AddToInventory(""Items.Boots_02_basic_02"",1)",Clothing - Feet,Varnished Rocker Booties with Extra Protection,,
Items.Boots_02_old_01,"Game.AddToInventory(""Items.Boots_02_old_01"",1)",Clothing - Feet,Worn-Leather Western Shorties,,
Items.Boots_02_old_02,"Game.AddToInventory(""Items.Boots_02_old_02"",1)",Clothing - Feet,Worn Biker Shorties with Composite Inserts,,
Items.Boots_02_rich_001,"Game.AddToInventory(""Items.Boots_02_rich_001"",1)",Clothing - Feet,Bulletproof Sheriff Western Shorties,,
Items.Boots_02_rich_02,"Game.AddToInventory(""Items.Boots_02_rich_02"",1)",Clothing - Feet,Gunslinger Western Shorties with Titanium Inserts,,
Items.Boots_03_basic_01,"Game.AddToInventory(""Items.Boots_03_basic_01"",1)",Clothing - Feet,Heavy Duty Biker Boots,,
Items.Boots_03_basic_02,"Game.AddToInventory(""Items.Boots_03_basic_02"",1)",Clothing - Feet,Reinforced Biker Boots,,
Items.Boots_03_old_01,"Game.AddToInventory(""Items.Boots_03_old_01"",1)",Clothing - Feet,Weathered Combat Boots,,
Items.Boots_03_old_02,"Game.AddToInventory(""Items.Boots_03_old_02"",1)",Clothing - Feet,Rubber Reinforced Tactical Boots,,
Items.Boots_03_rich_01,"Game.AddToInventory(""Items.Boots_03_rich_01"",1)",Clothing - Feet,Light Speed Biker Boots with Nanoarmor Fabric,,
Items.Boots_03_rich_02,"Game.AddToInventory(""Items.Boots_03_rich_02"",1)",Clothing - Feet,Sturdy Orchid Dawn Synleather Biker Boots,,
Items.Boots_04_basic_01,"Game.AddToInventory(""Items.Boots_04_basic_01"",1)",Clothing - Feet,Steel-Toed Rocker Boots,,
Items.Boots_04_basic_02,"Game.AddToInventory(""Items.Boots_04_basic_02"",1)",Clothing - Feet,Classic Molybdenum Steel-Toed Combat Boots,,
Items.Boots_04_basic_03,"Game.AddToInventory(""Items.Boots_04_basic_03"",1)",Clothing - Feet,Heavy-Duty New Murica Combat Boots,,
Items.Boots_04_old_01,"Game.AddToInventory(""Items.Boots_04_old_01"",1)",Clothing - Feet,Used Leather Combat Boots,,
Items.Boots_04_old_02,"Game.AddToInventory(""Items.Boots_04_old_02"",1)",Clothing - Feet,Titanium-Fitted Polyamide Combat Boots,,
Items.Boots_04_old_03,"Game.AddToInventory(""Items.Boots_04_old_03"",1)",Clothing - Feet,Hardened Tungsten Steel-Toe Combat Boots,,
Items.Boots_05_basic_01,"Game.AddToInventory(""Items.Boots_05_basic_01"",1)",Clothing - Feet,Breathable Icon America Fleets,,
Items.Boots_05_basic_02,"Game.AddToInventory(""Items.Boots_05_basic_02"",1)",Clothing - Feet,Ultralight Fleets with Composite Lining,,
Items.Boots_05_basic_03,"Game.AddToInventory(""Items.Boots_05_basic_03"",1)",Clothing - Feet,Heavy-Duty Punk Fleets,,
Items.Boots_05_old_01,"Game.AddToInventory(""Items.Boots_05_old_01"",1)",Clothing - Feet,Muddy Fleets,,
Items.Boots_05_old_02,"Game.AddToInventory(""Items.Boots_05_old_02"",1)",Clothing - Feet,Used Synleather Fleets,,
Items.Boots_05_old_03,"Game.AddToInventory(""Items.Boots_05_old_03"",1)",Clothing - Feet,Reinforced Plastic Fleets,,
Items.Boots_05_rich_01,"Game.AddToInventory(""Items.Boots_05_rich_01"",1)",Clothing - Feet,AT-AK Strong-Quilted Bubblegum Puffed Fleets,,
Items.Boots_06_basic_01,"Game.AddToInventory(""Items.Boots_06_basic_01"",1)",Clothing - Feet,Heat-Resistant Military Boots,,
Items.Boots_06_basic_02,"Game.AddToInventory(""Items.Boots_06_basic_02"",1)",Clothing - Feet,Sporty Flexiweave Work Boots,,
Items.Boots_06_old_01,"Game.AddToInventory(""Items.Boots_06_old_01"",1)",Clothing - Feet,Polyamide-Lined Work Boots,,
Items.Boots_06_old_02,"Game.AddToInventory(""Items.Boots_06_old_02"",1)",Clothing - Feet,Frayed Underwater Work Boots,,
Items.Boots_06_rich_01,"Game.AddToInventory(""Items.Boots_06_rich_01"",1)",Clothing - Feet,Rostiger Teich Thermoactive Puffed Work Boots,,
Items.Boots_06_rich_02,"Game.AddToInventory(""Items.Boots_06_rich_02"",1)",Clothing - Feet,Light Star Trail Chem-Resistant Work Boots,,
Items.Boots_07_basic_01,"Game.AddToInventory(""Items.Boots_07_basic_01"",1)",Clothing - Feet,Glitter Laceless Sturdy-Stitched Steel-Toes,,
Items.Boots_07_basic_02,"Game.AddToInventory(""Items.Boots_07_basic_02"",1)",Clothing - Feet,Camo Aramid-Weave Steel-Toes,,
Items.Boots_07_old_01,"Game.AddToInventory(""Items.Boots_07_old_01"",1)",Clothing - Feet,Sturdy Manganese Steel-Toes,,
Items.Boots_07_old_02,"Game.AddToInventory(""Items.Boots_07_old_02"",1)",Clothing - Feet,Faded Cirqt Laceless Steel-Toes,,
Items.Boots_07_old_03,"Game.AddToInventory(""Items.Boots_07_old_03"",1)",Clothing - Feet,Havskum Carbon-Fiber Steel-Toes,,
Items.Boots_07_rich_01,"Game.AddToInventory(""Items.Boots_07_rich_01"",1)",Clothing - Feet,Claret Shine Armored Laceless Steel-Toes,,
Items.Boots_07_rich_02,"Game.AddToInventory(""Items.Boots_07_rich_02"",1)",Clothing - Feet,Stylish Rock Garden Tungsten-Alloy Steel-Toes,,
Items.Boots_08_basic_01,"Game.AddToInventory(""Items.Boots_08_basic_01"",1)",Clothing - Feet,Padded Strappers with Aluminum Inserts,,
Items.Boots_08_basic_02,"Game.AddToInventory(""Items.Boots_08_basic_02"",1)",Clothing - Feet,Reinforced Sudo Biker Boots,,
Items.Boots_08_old_01,"Game.AddToInventory(""Items.Boots_08_old_01"",1)",Clothing - Feet,Repurposed Military Boots,,
Items.Boots_08_old_02,"Game.AddToInventory(""Items.Boots_08_old_02"",1)",Clothing - Feet,Boosted Military Strappers,,
Items.Boots_08_rich_01,"Game.AddToInventory(""Items.Boots_08_rich_01"",1)",Clothing - Feet,Carbon-Composite Neko-Ka Strappers,,
Items.Boots_09_basic_01,"Game.AddToInventory(""Items.Boots_09_basic_01"",1)",Clothing - Feet,Heavy-Duty Biker Exo-Jacks,,
Items.Boots_09_basic_02,"Game.AddToInventory(""Items.Boots_09_basic_02"",1)",Clothing - Feet,Trendy Ultralight Exo-Jacks,,
Items.Boots_09_old_01,"Game.AddToInventory(""Items.Boots_09_old_01"",1)",Clothing - Feet,Composite Punk Exo-Jacks,,
Items.Boots_09_old_02,"Game.AddToInventory(""Items.Boots_09_old_02"",1)",Clothing - Feet,Worn Exo-Jacks,,
Items.Boots_09_rich_01,"Game.AddToInventory(""Items.Boots_09_rich_01"",1)",Clothing - Feet,Militoxic Ceramic-Layer Combat Exo-Jacks,,
Items.Boots_09_rich_02,"Game.AddToInventory(""Items.Boots_09_rich_02"",1)",Clothing - Feet,Multilayered Kasen Exo-Jacks with Anti-Shrapnel Lining,,
Items.Boots_09_rich_03,"Game.AddToInventory(""Items.Boots_09_rich_03"",1)",Clothing - Feet,Reinforced Rouge Absurde Exo-Jacks with Defensive Nanotubing,,
Items.Boots_10_basic_01,"Game.AddToInventory(""Items.Boots_10_basic_01"",1)",Clothing - Feet,Western Star Cowboy Boots with Thick Synthetic Heels,,
Items.Boots_10_basic_02,"Game.AddToInventory(""Items.Boots_10_basic_02"",1)",Clothing - Feet,Worn Traditional Cowboy Boots,,
Items.Boots_10_old_01,"Game.AddToInventory(""Items.Boots_10_old_01"",1)",Clothing - Feet,Rubber-Reinforced Cowboy Boots,,
Items.Boots_10_old_02,"Game.AddToInventory(""Items.Boots_10_old_02"",1)",Clothing - Feet,Reinforced Snake-Skin Cowboy Boots,,
Items.Boots_10_rich_01,"Game.AddToInventory(""Items.Boots_10_rich_01"",1)",Clothing - Feet,Ghost Town Cowboy Boots with Heat-Resistant Heels,,
Items.Boots_10_rich_02,"Game.AddToInventory(""Items.Boots_10_rich_02"",1)",Clothing - Feet,Trendy Lonely Luke Cowboy Boots with Protective Mesh,,
Items.Boots_11_basic_01,"Game.AddToInventory(""Items.Boots_11_basic_01"",1)",Clothing - Feet,Light Pink Snow Boots with Protective Mesh,,
Items.Boots_11_basic_02,"Game.AddToInventory(""Items.Boots_11_basic_02"",1)",Clothing - Feet,Yuki Snow Boots with Reinforced Lining,,
Items.Boots_11_old_01,"Game.AddToInventory(""Items.Boots_11_old_01"",1)",Clothing - Feet,Anti-Chem Winter Work Boots,,
Items.Boots_11_old_02,"Game.AddToInventory(""Items.Boots_11_old_02"",1)",Clothing - Feet,Repaired Zolotoy Pukh Snow Boots,,
Items.Boots_11_rich_01,"Game.AddToInventory(""Items.Boots_11_rich_01"",1)",Clothing - Feet,Pixel Neige Snow Boots with Canvas Duolayer,,
Items.Boots_11_rich_02,"Game.AddToInventory(""Items.Boots_11_rich_02"",1)",Clothing - Feet,Pinku Inku Snow Boots with Thermoactive Insolves,,
Items.BrainCapacityBoosterEpic,"Game.AddToInventory(""Items.BrainCapacityBoosterEpic"",1)",Cyberware - Frontal Cortex,Ex-Disk,Epic,increases your cyberdeck's max Ram units by 3
Items.BrainCapacityBoosterLegendary,"Game.AddToInventory(""Items.BrainCapacityBoosterLegendary"",1)",Cyberware - Frontal Cortex,Ex-Disk,Legendary,increases your cyberdeck's max Ram units by 5
Items.BrainCapacityBoosterRare,"Game.AddToInventory(""Items.BrainCapacityBoosterRare"",1)",Cyberware - Frontal Cortex,Ex-Disk,Rare,increases your cyberdeck's max Ram units by 1
Items.BrainMeltLvl2Program,"Game.AddToInventory(""Items.BrainMeltLvl2Program"",1)",Quickhack,Synapse Burnout,Rare,Deals Moderate damage that scales higher based on how much health the target is missing.
Items.BrainMeltLvl3Program,"Game.AddToInventory(""Items.BrainMeltLvl3Program"",1)",Quickhack,Synapse Burnout,Epic,"Deals Moderate damage that scales higher based on how much health the target is missing. Less effective against drones, mech and robots. If the target is defeated by this quickhack,they burst into flames, cuasing enemies within a 6-meter radius to panic."
Items.BrainMeltLvl4Program,"Game.AddToInventory(""Items.BrainMeltLvl4Program"",1)",Quickhack,Synapse Burnout,Legendary,"Deals Moderate damage that scales higher based on how much health the target is missing. Less effective against drones, mech and robots. If the target is defeated by this quickhack,they burst into flames, cuasing enemies within a 6-meter radius to panic. Passive While Equiped: Defeating an enemy with any quickhack causes nearby enemies to panic."
Items.BrawlingSkillbook,"Game.AddToInventory(""Items.BrawlingSkillbook"",1)",Progression,Street Brawler Skill Progression Shard,,Adds +400 Skill Exp
Items.Cap,"Game.AddToInventory(""Items.Cap"",1)",Unused,,,
Items.Cap_01_basic_01,"Game.AddToInventory(""Items.Cap_01_basic_01"",1)",Clothing - Head,Darra Polytechnic Cap,,
Items.Cap_01_basic_02,"Game.AddToInventory(""Items.Cap_01_basic_02"",1)",Clothing - Head,Limited-Ed Daemon Hunting Cap,,
Items.Cap_01_basic_03,"Game.AddToInventory(""Items.Cap_01_basic_03"",1)",Clothing - Head,Reinforced Baseball Cap,,
Items.Cap_01_old_01,"Game.AddToInventory(""Items.Cap_01_old_01"",1)",Clothing - Head,Worn Baseball Cap,,
Items.Cap_01_old_02,"Game.AddToInventory(""Items.Cap_01_old_02"",1)",Clothing - Head,Braindance Cap,,
Items.Cap_01_old_03,"Game.AddToInventory(""Items.Cap_01_old_03"",1)",Clothing - Head,Worn Samurai Cap,,
Items.Cap_01_rich_01,"Game.AddToInventory(""Items.Cap_01_rich_01"",1)",Clothing - Head,St33t Dandy Composite-Coated Cap,,
Items.Cap_01_rich_02,"Game.AddToInventory(""Items.Cap_01_rich_02"",1)",Clothing - Head,Durable Urban Soul Cap with Rubber Inserts,,
Items.Cap_01_rich_03,"Game.AddToInventory(""Items.Cap_01_rich_03"",1)",Clothing - Head,Bitch v.13 Cap with Titanium Microplate Mesh,,
Items.Cap_02_basic_01,"Game.AddToInventory(""Items.Cap_02_basic_01"",1)",Clothing - Head,Stylish Leather Flat Cap with Light Armor Layer,,
Items.Cap_02_basic_02,"Game.AddToInventory(""Items.Cap_02_basic_02"",1)",Clothing - Head,Classic Hardened-Leather Flat Cap,,
Items.Cap_02_basic_03,"Game.AddToInventory(""Items.Cap_02_basic_03"",1)",Clothing - Head,Flat Cap with Reinforced Seams,,
Items.Cap_02_old_01,"Game.AddToInventory(""Items.Cap_02_old_01"",1)",Clothing - Head,Sturdy Plaid Flat Cap,,
Items.Cap_02_old_02,"Game.AddToInventory(""Items.Cap_02_old_02"",1)",Clothing - Head,Faded Nusa Flat Cap,,
Items.Cap_02_old_03,"Game.AddToInventory(""Items.Cap_02_old_03"",1)",Clothing - Head,Plain Secondhand Flat Cap,,
Items.Cap_03_basic_01,"Game.AddToInventory(""Items.Cap_03_basic_01"",1)",Clothing - Head,MOX Beanie,,
